PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVe1QZDePtR2;Q_Z_DE_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var96;120;160;200;3920;3940;3960
LOCATION, INTERFACE;Li_IVe1QZPtMtR1;Q_Z_MO_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var97;360;400;440;3920;3940;3960
LOCATION, INTERFACE;Li_IVe1QZPtMtR2;Q_Z_MO_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var98;120;160;200;4000;4020;4040
LOCATION, INTERFACE;Li_IVe1QZPtR1;Q_Z_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var99;360;400;440;4000;4020;4040
LOCATION, INTERFACE;Li_IVe1QZPtR2;Q_Z_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var100;120;160;200;4080;4100;4120
LOCATION, INTERFACE;Li_IVe1QZStartGrog;Q_Z_DMR_A_GROG;dem_arret_mot_diesel/VE1/;BOOL;BOOL;1;TRUE;Var101;360;400;440;4080;4100;4120
LOCATION, INTERFACE;Li_IVe1ZIsGrog1;Z_IS_GROG1_VE1;;DINT;BOOL;1;2;Var102;120;160;200;4160;4180;4200
LOCATION, INTERFACE;Li_IVe1ZIsGrog2;Z_IS_GROG2_VE1;;DINT;BOOL;1;2;Var103;360;400;440;4160;4180;4200
LOCATION, INTERFACE;Li_IVe1ZStopGrog;Z_DMR_A_GROG_VE1;;DINT;BOOL;1;3;Var104;120;160;200;4240;4260;4280
LOCATION, INTERFACE;Li_IVe2BpUrgPtDe;BP_URG_PT_DE_VE2;;BOOL;BOOL;1;TRUE;Var105;360;400;440;4240;4260;4280
LOCATION, INTERFACE;Li_IVe2C1VtGvTfpR1;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var106;120;160;200;4320;4340;4360
LOCATION, INTERFACE;Li_IVe2C1VtGvTfpR2;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var107;360;400;440;4320;4340;4360
LOCATION, INTERFACE;Li_IVe2C2VtGvTfpR1;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var108;120;160;200;4400;4420;4440
LOCATION, INTERFACE;Li_IVe2C2VtGvTfpR2;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var109;360;400;440;4400;4420;4440
LOCATION, INTERFACE;Li_IVe2CcDmrGrogR1;CC_DMR_GROG;dem_arret_mot_diesel/VE1/;BOOL;BOOL;1;TRUE;Var110;120;160;200;4480;4500;4520
LOCATION, INTERFACE;Li_IVe2CcDmrGrogR2;CC_DMR_GROG;dem_arret_mot_diesel/VE1/;BOOL;BOOL;1;TRUE;Var111;360;400;440;4480;4500;4520
LOCATION, INTERFACE;Li_IVe2CcMaSuPt2;CC_MA_SU_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var112;120;160;200;4560;4580;4600
LOCATION, INTERFACE;Li_IVe2CcMaSuPtR1;CC_MA_SU_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var113;360;400;440;4560;4580;4600
LOCATION, INTERFACE;Li_IVe2CcMPhTfpR1;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var114;120;160;200;4640;4660;4680
LOCATION, INTERFACE;Li_IVe2CcMPhTfpR2;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var115;360;400;440;4640;4660;4680
LOCATION, INTERFACE;Li_IVe2CcQtR1;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var116;120;160;200;4720;4740;4760
LOCATION, INTERFACE;Li_IVe2CcQtR2;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var117;360;400;440;4720;4740;4760
